record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
IT-2012-0061__0LAI__0,IT-2012-0061,0LAI,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0061&station=0LAI&data-type=ACC,downloaded,200,,,2026-03-17T07:32:36.397891+00:00
IR-2004-0043__EYK__0,IR-2004-0043,EYK,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=EYK&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=EYK&data-type=ACC,2026-03-17T07:32:36.562583+00:00
GE-1991-0003__SONB__0,GE-1991-0003,SONB,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=GE-1991-0003&station=SONB&data-type=ACC,downloaded,200,,,2026-03-17T07:32:37.217091+00:00
EMSC-20161030_0000029__LSS__0,EMSC-20161030_0000029,LSS,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161030_0000029&station=LSS&data-type=ACC,downloaded,200,,,2026-03-17T07:32:37.538089+00:00
EMSC-20161026_0000095__SNO__0,EMSC-20161026_0000095,SNO,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=SNO&data-type=ACC,downloaded,200,,,2026-03-17T07:32:37.811815+00:00
EMSC-20160824_0000006__PZI1__0,EMSC-20160824_0000006,PZI1,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=PZI1&data-type=ACC,downloaded,200,,,2026-03-17T07:32:38.083652+00:00
EMSC-20160824_0000006__RM33__0,EMSC-20160824_0000006,RM33,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=RM33&data-type=ACC,downloaded,200,,,2026-03-17T07:32:38.359088+00:00
IR-2005-0044__TRZ__0,IR-2005-0044,TRZ,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2005-0044&station=TRZ&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2005-0044&station=TRZ&data-type=ACC,2026-03-17T07:32:46.140029+00:00
EMSC-20130108_0000044__FOCM__0,EMSC-20130108_0000044,FOCM,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20130108_0000044&station=FOCM&data-type=ACC,downloaded,200,,,2026-03-17T07:32:46.656286+00:00
IT-1984-0004__ORT__0,IT-1984-0004,ORT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1984-0004&station=ORT&data-type=ACC,downloaded,200,,,2026-03-17T07:32:46.740107+00:00
EMSC-20161026_0000095__SPD__0,EMSC-20161026_0000095,SPD,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=SPD&data-type=ACC,downloaded,200,,,2026-03-17T07:32:46.911101+00:00
IR-2004-0043__DSJ__0,IR-2004-0043,DSJ,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=DSJ&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=DSJ&data-type=ACC,2026-03-17T07:32:47.143907+00:00
EMSC-20161026_0000095__GUMA__0,EMSC-20161026_0000095,GUMA,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=GUMA&data-type=ACC,downloaded,200,,,2026-03-17T07:32:47.398136+00:00
EMSC-20160824_0000006__CADA__0,EMSC-20160824_0000006,CADA,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=CADA&data-type=ACC,downloaded,200,,,2026-03-17T07:32:47.894877+00:00
EMSC-20160824_0000006__MNTP__0,EMSC-20160824_0000006,MNTP,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=MNTP&data-type=ACC,downloaded,200,,,2026-03-17T07:32:47.906060+00:00
IR-2004-0043__LAV__0,IR-2004-0043,LAV,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=LAV&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=LAV&data-type=ACC,2026-03-17T07:32:48.054050+00:00
GR-1997-0019__KRN1__0,GR-1997-0019,KRN1,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=GR-1997-0019&station=KRN1&data-type=ACC,downloaded,200,,,2026-03-17T07:32:48.363141+00:00
EMSC-20130108_0000044__KRBN__0,EMSC-20130108_0000044,KRBN,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20130108_0000044&station=KRBN&data-type=ACC,downloaded,200,,,2026-03-17T07:32:48.830334+00:00
EMSC-20161026_0000095__AMT__0,EMSC-20161026_0000095,AMT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=AMT&data-type=ACC,downloaded,200,,,2026-03-17T07:32:48.848405+00:00
IT-2009-0102__AQU__0,IT-2009-0102,AQU,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0102&station=AQU&data-type=ACC,downloaded,200,,,2026-03-17T07:32:49.082537+00:00
EMSC-20161030_0000029__T1213__0,EMSC-20161030_0000029,T1213,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161030_0000029&station=T1213&data-type=ACC,downloaded,200,,,2026-03-17T07:32:49.294614+00:00
IR-1994-0020__A3292__0,IR-1994-0020,A3292,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-1994-0020&station=A3292&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-1994-0020&station=A3292&data-type=ACC,2026-03-17T07:32:49.313156+00:00
IR-1997-0030__MSV__0,IR-1997-0030,MSV,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-1997-0030&station=MSV&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-1997-0030&station=MSV&data-type=ACC,2026-03-17T07:32:49.487978+00:00
IR-2002-0035__GMB__0,IR-2002-0035,GMB,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2002-0035&station=GMB&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2002-0035&station=GMB&data-type=ACC,2026-03-17T07:32:49.829038+00:00
IT-2009-0174__RM14__0,IT-2009-0174,RM14,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0174&station=RM14&data-type=ACC,downloaded,200,,,2026-03-17T07:32:50.184302+00:00
IT-2012-0010__CSP__0,IT-2012-0010,CSP,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0010&station=CSP&data-type=ACC,downloaded,200,,,2026-03-17T07:32:50.530207+00:00
IT-1997-0004__CSC__0,IT-1997-0004,CSC,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1997-0004&station=CSC&data-type=ACC,downloaded,200,,,2026-03-17T07:32:50.774984+00:00
IT-2012-0004__REVF__0,IT-2012-0004,REVF,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0004&station=REVF&data-type=ACC,downloaded,200,,,2026-03-17T07:32:50.889855+00:00
