site,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
40,1000.0,-0.006903786400842771,0.15700164210454381,0.004964827854369501,0.005550306047673313,-0.012324757811761634,0.043972701866683006,1.3905389277025606,0.0,0.0,0.0
41,1000.0,-0.012516014217508253,0.17958144559359782,0.0056788639358137764,0.00366415255720292,-0.016124747800743165,0.06969547536571594,2.203964447638191,0.0,0.0,0.0
42,1000.0,0.03391534957130027,0.13850739419463298,0.0043799883842982335,0.04441098662694447,-0.009592149123293724,0.24486309751551483,7.743251030729439,0.0,0.0,0.0
43,1000.0,-0.01638691386848956,0.1446542953822404,0.004574370467346568,-0.005892938513576963,-0.010462432586266229,0.11328328567906064,3.582332035733659,0.0,0.0,0.0
44,1000.0,-0.020257697752675163,0.13438919563450008,0.004249759511229775,-0.011284725651016816,-0.009030227951643969,0.15073903565707966,4.766786849737078,0.0,0.0,0.0
45,1000.0,-0.01490658055380778,0.18882181634295217,0.005971070115737343,0.002913046404243272,-0.01782683916352578,0.07894522382272472,2.4964671767159494,0.0,0.0,0.0
46,1000.0,-0.016933445006962478,0.16867436456606832,0.005333951749103748,-0.0027000286275831718,-0.014225520630883462,0.10039133718111498,3.1746528284227105,0.0,0.0,0.0
47,1000.0,-0.02261506629174992,0.16899568321106773,0.005344112736832519,-0.00848550898924784,-0.01427977047198778,0.13382037849750728,4.231771933979442,0.0,0.0,0.0
48,1000.0,-0.0068049748025045265,0.1905416818016653,0.00602545703692318,0.011733543313715768,-0.01815306625190354,0.035713838243475876,1.1293707283621088,0.0,0.0,0.0
49,1000.0,-0.019318402431053316,0.1324937489803671,0.004189820225125719,-0.01051100855499547,-0.00877729675943626,0.14580614240084577,4.61079506829524,0.0,0.0,0.0
50,1000.0,-0.002669991000797678,0.17112946176967594,0.00541158873950885,0.012229508451465466,-0.01464264634278949,0.015602170270314021,0.4933839449595727,0.0,0.0,0.0
51,1000.0,-0.016812391563383322,0.16224102109810787,0.005130511565814532,-0.0038234788918576302,-0.01316107446347834,0.10362602164107926,3.2769425324770993,0.0,0.0,0.0
52,1000.0,-0.0030786681845136332,0.14948805238700627,0.004727227285255103,0.008275849378865677,-0.011173338903230167,0.020594744097296405,0.6512629917576502,0.0,0.0,0.0
53,1000.0,0.013028725391688312,0.12232410176793576,0.003868227743209066,0.02071200117406473,-0.007481592936666153,0.10650987992869505,3.368138138857288,0.0,0.0,0.0
54,1000.0,0.013583606060674436,0.11619513100108693,0.003674412669850755,0.02053230738023883,-0.006750654234179876,0.1169034015766751,3.6968101520361256,0.0,0.0,0.0
55,1000.0,0.04556401014155442,0.1815717787970586,0.00574180379806973,0.06387159280446987,-0.01648415542776399,0.2509421367319476,7.935487129823567,0.0,0.0,0.0
56,1000.0,-0.0217316106877814,0.17180840138081663,0.005433058695157986,-0.006764542774442416,-0.014759063392515896,0.12648747391353038,3.9998851304788774,0.0,0.0,0.0
57,1000.0,-0.02060060588498791,0.1428385787460334,0.004516952465787833,-0.010391043637796244,-0.010201429789093393,0.14422298279525542,4.560731165762847,0.0,0.0,0.0
58,1000.0,-0.019372284170251497,0.14398367216719843,0.004553163499233392,-0.009054189605902905,-0.010365648925375635,0.13454500693492372,4.25468669717509,0.0,0.0,0.0
59,1000.0,-0.010995482100004672,0.12721274039815736,0.004022820070498925,-0.0028776076805110606,-0.008091540659804488,0.08643381209767523,2.733277130796698,0.0,0.0,0.0
