IM,info,info,info,info,AvgSA_03_ub,AvgSA_03_ub,AvgSA_03_avg,AvgSA_03_avg
parameter,storeys,site,group,Vb_coeff,median,dispersion,median,dispersion
structure,,,,,,,,
5s_cbf_dc2_site20,5,20,group_5s_00,0.031682047705199,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site27,5,27,group_5s_00,0.031682047705199,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site25,5,25,group_5s_06,0.031682047705199,0.3405272126647699,0.18524905607859302,0.3265963786036838,0.18654737251596515
5s_cbf_dc2_site26,5,26,group_5s_06,0.031682047705199,0.3405272126647699,0.18524905607859302,0.3265963786036838,0.18654737251596515
5s_cbf_dc2_site7,5,7,group_5s_01,0.0534878766095885,0.48124451807222285,0.19556859883893063,0.46243982766685404,0.19632449744240285
5s_cbf_dc2_site11,5,11,group_5s_03,0.0565767926521811,0.4366154203157237,0.170119244577679,0.42105392033578454,0.17339527184325534
5s_cbf_dc2_site18,5,18,group_5s_02,0.0616876410562286,0.45985492726847343,0.1869932738880478,0.44302509971111254,0.19151484979621508
5s_cbf_dc2_site24,5,24,group_5s_02,0.0630768734712336,0.45985492726847343,0.1869932738880478,0.44302509971111254,0.19151484979621508
5s_cbf_dc2_site10,5,10,group_5s_02,0.0631965185297679,0.45985492726847343,0.1869932738880478,0.44302509971111254,0.19151484979621508
5s_cbf_dc2_site17,5,17,group_5s_04,0.0649425831044141,0.4325664453393645,0.16500438250371954,0.416174761134514,0.1702205979112404
5s_cbf_dc2_site21,5,21,group_5s_05,0.0696128553772146,0.474979908934244,0.16931516269100208,0.4576192461911596,0.17329593125357573
5s_cbf_dc2_site33,5,33,group_5s_10,0.0881156665854277,0.48914338366212284,0.18398980322013384,0.4683776448939102,0.1821411043257859
5s_cbf_dc2_site50,5,50,group_5s_22,0.089361612390985,0.48911323877171015,0.209830078847374,0.46871174744636523,0.20737811044209115
5s_cbf_dc2_site32,5,32,group_5s_09,0.0915661354761065,0.4164648854843564,0.20314950672127918,0.4022143437794156,0.20498800648083887
5s_cbf_dc2_site36,5,36,group_5s_09,0.0922114514974704,0.4164648854843564,0.20314950672127918,0.4022143437794156,0.20498800648083887
5s_cbf_dc2_site35,5,35,group_5s_09,0.0948649490276784,0.4164648854843564,0.20314950672127918,0.4022143437794156,0.20498800648083887
5s_cbf_dc2_site39,5,39,group_5s_14,0.0975445728808887,0.4507571573152053,0.224821295810544,0.43223011886977936,0.22222435187607767
5s_cbf_dc2_site58,5,58,group_5s_24,0.1019141579736586,0.4507558890022083,0.22507627622560594,0.4322062909099658,0.2224900854498037
5s_cbf_dc2_site40,5,40,group_5s_15,0.1081130309295181,0.44212832164332816,0.19238680643239062,0.42408425452728765,0.19337378195925126
5s_cbf_dc2_site30,5,30,group_5s_07,0.1176954810548638,0.6178011027462226,0.1853912207885209,0.5973845865882342,0.19077044857888603
5s_cbf_dc2_site37,5,37,group_5s_12,0.1193311142513445,0.629652208981485,0.2114941651675534,0.6074385215342876,0.2136232764310429
5s_cbf_dc2_site57,5,57,group_5s_16,0.1529573824044095,0.5421075158888062,0.22775702609473059,0.5261363571173163,0.22573704423933685
5s_cbf_dc2_site41,5,41,group_5s_16,0.1536348877565657,0.5421075158888062,0.22775702609473059,0.5261363571173163,0.22573704423933685
5s_cbf_dc2_site54,5,54,group_5s_16,0.1546486565132333,0.5421075158888062,0.22775702609473059,0.5261363571173163,0.22573704423933685
5s_cbf_dc2_site55,5,55,group_5s_16,0.1570748854698712,0.5421075158888062,0.22775702609473059,0.5261363571173163,0.22573704423933685
5s_cbf_dc2_site47,5,47,group_5s_16,0.1599261815243782,0.5421075158888062,0.22775702609473059,0.5261363571173163,0.22573704423933685
5s_cbf_dc2_site42,5,42,group_5s_17,0.1641494715501107,0.5961531724026385,0.20245513438049026,0.5735075169901865,0.20327390538925497
5s_cbf_dc2_site56,5,56,group_5s_17,0.1671503928968236,0.5961531724026385,0.20245513438049026,0.5735075169901865,0.20327390538925497
5s_cbf_dc2_site52,5,52,group_5s_19,0.1761043322176022,0.6289411468387017,0.2052541093827137,0.610215598418688,0.20611973888611235
5s_cbf_dc2_site45,5,45,group_5s_19,0.1776307837727131,0.6289411468387017,0.2052541093827137,0.610215598418688,0.20611973888611235
5s_cbf_dc2_site49,5,49,group_5s_21,0.2104432596557962,0.6914935016536768,0.21593008844896852,0.6709949908922497,0.2185721572913561
5s_cbf_dc2_site44,5,44,group_5s_18,0.2130554654411175,0.7598698404707365,0.20206238076443894,0.7326351675219026,0.19464410417000727
5s_cbf_dc2_site46,5,46,group_5s_18,0.2153414591999578,0.7598698404707365,0.20206238076443894,0.7326351675219026,0.19464410417000727
5s_cbf_dc2_site53,5,53,group_5s_11,0.2255408783249258,0.7277961257438662,0.19000628245061604,0.7032829204436798,0.19288492608773133
5s_cbf_dc2_site34,5,34,group_5s_11,0.2285604056236898,0.7277961257438662,0.19000628245061604,0.7032829204436798,0.19288492608773133
5s_cbf_dc2_site43,5,43,group_5s_08,0.2410683819696467,0.6532043268616193,0.19162914546407073,0.6304245256826175,0.191006560245823
5s_cbf_dc2_site31,5,31,group_5s_08,0.2417155114278485,0.6532043268616193,0.19162914546407073,0.6304245256826175,0.191006560245823
5s_cbf_dc2_site59,5,59,group_5s_25,0.244928483104022,0.6494625694070606,0.1694437565618717,0.626360669028379,0.16769276724829682
5s_cbf_dc2_site51,5,51,group_5s_23,0.2559051889222833,0.6543141425876261,0.21687069812478385,0.6327445584652961,0.2126040953296626
5s_cbf_dc2_site48,5,48,group_5s_20,0.2718680847183726,0.6446161331615458,0.20087678701853692,0.6221889791293286,0.1986071248762412
5s_cbf_dc2_site38,5,38,group_5s_13,0.297730698520352,0.7716660880218407,0.175774639951389,0.7440224310585534,0.17406072756990093
