lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
35.1,32.48213,0,800,TRUE,123.22,31.07,0.57
35.1,32.58213,0,800,TRUE,121.42,31.07,0.57
35.1,32.68213,2,800,TRUE,120.28,31.07,0.57
35.1,32.78213,2,800,TRUE,119.72,31.07,0.57
35.1,32.88213,2,800,TRUE,119.23,31.07,0.57
35.1,32.98213,2,800,TRUE,118.73,31.07,0.57
35.1,33.08213,2,800,TRUE,118.22,31.07,0.57
35.1,33.18213,2,800,TRUE,117.7,31.07,0.57
35.1,33.28213,2,800,TRUE,117.17,31.07,0.57
35.1,33.38213,2,800,TRUE,116.63,31.07,0.57
35.1,33.48213,2,800,TRUE,116.08,31.07,0.57
35.1,33.58213,2,800,TRUE,115.53,31.07,0.57
35.1,33.68213,2,800,TRUE,114.96,31.07,0.57
35.1,33.78213,2,800,TRUE,114.64,31.07,0.57
35.1,33.88213,2,800,TRUE,115.01,31.07,0.57
35.1,33.98213,2,800,TRUE,116.09,31.07,0.57
35.1,34.08213,2,800,TRUE,117.86,31.07,0.57
35.1,34.18213,2,800,TRUE,120.28,31.07,0.57
35.1,34.28213,2,800,TRUE,123.32,31.07,0.57
35.1,31.98213,4,800,TRUE,140.81,31.07,0.57
35.1,32.08213,4,800,TRUE,136.28,31.07,0.57
35.1,32.18213,4,800,TRUE,132.21,31.07,0.57
35.1,32.28213,4,800,TRUE,128.65,31.07,0.57
35.2,26.98213,0,800,TRUE,143.86,31.07,0.57
35.2,27.08213,0,800,TRUE,146.3,31.07,0.57
35.2,27.18213,0,800,TRUE,148.74,31.07,0.57
35.2,27.28213,0,800,TRUE,150,31.07,0.57
35.2,23.28213,1,800,TRUE,150,31.07,0.57
35.2,23.38213,1,800,TRUE,150,31.07,0.57
35.2,23.48213,1,800,TRUE,150,31.07,0.57
35.2,23.58213,1,800,TRUE,150,31.07,0.57
35.2,23.68213,3,800,TRUE,150,31.07,0.57
35.2,23.78213,3,800,TRUE,150,31.07,0.57
35.2,23.88213,3,800,TRUE,150,31.07,0.57
35.2,23.98213,3,800,TRUE,150,31.07,0.57
35.2,24.08213,3,800,TRUE,150,31.07,0.57
35.2,24.18213,3,800,TRUE,150,31.07,0.57
35.2,24.28213,3,800,TRUE,150,31.07,0.57
35.2,24.38213,3,800,TRUE,150,31.07,0.57
35.2,24.48213,3,800,TRUE,150,31.07,0.57
35.2,24.58213,3,800,TRUE,148.65,31.07,0.57
35.2,24.68213,3,800,TRUE,145.2,31.07,0.57
35.2,24.78213,3,800,TRUE,141.83,31.07,0.57
35.2,24.88213,3,800,TRUE,138.93,31.07,0.57
35.2,24.98213,3,800,TRUE,136.56,31.07,0.57
35.2,25.08213,3,800,TRUE,134.75,31.07,0.57
35.2,25.18213,3,800,TRUE,133.53,31.07,0.57
35.2,25.28213,3,800,TRUE,132.87,31.07,0.57
35.2,25.38213,3,800,TRUE,132.33,31.07,0.57
35.2,25.48213,3,800,TRUE,131.78,31.07,0.57
35.2,25.58213,3,800,TRUE,131.21,31.07,0.57
35.2,25.68213,3,800,TRUE,130.64,31.07,0.57
35.2,25.78213,3,800,TRUE,130.05,31.07,0.57
35.2,25.88213,3,800,TRUE,129.46,31.07,0.57
35.2,25.98213,3,800,TRUE,128.86,31.07,0.57
35.2,26.08213,3,800,TRUE,128.28,31.07,0.57
