metadata,metadata,metadata
event_id,station_code,location_code
EMSC-20130615_0000050,IMMV,0
GR-1997-0019,KAL1,0
IT-2009-0121,PSC,0
EMSC-20160824_0000006,AQF,0
ME-1979-0012,HRZ,0
EMSC-20160824_0000013,PZI1,0
IT-2012-0061,TGN,0
IT-2013-0005,TOD,0
EMSC-20130108_0000044,GOKC,0
IT-2006-0272,BNT,0
IT-2012-0061,TRR,0
IT-2009-0174,RM18,0
IT-2013-0005,BVT,0
EMSC-20131112_0000077,LIA,0
IT-2002-0040,BNT,0
IT-2012-0010,FDS,0
EMSC-20140921_0000002,NOAC,0
IT-2012-0008,PNM,0
IT-2012-0010,GEPF,0
EMSC-20130406_0000089,GVD,0
IT-2012-0004,LSP,0
EMSC-20160824_0000006,SSO,0
IT-2013-0010,ANB,0
IT-2012-0008,BDG,0
EMSC-20161030_0000029,TOD,0
IT-2009-0095,LSS,0
EMSC-20161026_0000095,MCT,0
EMSC-20161026_0000077,MTR,0
IT-2009-0084,AQV,0
EMSC-20160824_0000013,PIGN,0
EMSC-20110508_0000014,DIDI,0
IT-2013-0019,BCN,0
EMSC-20161026_0000077,CIMA,0
EMSC-20161030_0000029,CRO,0
IT-2012-0008,CNF,0
IT-2013-0019,SEP,0
TK-1999-0077,3401,0
EMSC-20161026_0000095,MSCT,0
IT-2012-0010,SFI,0
IT-2009-0009,CSS,0
IT-2009-0095,AQP,0
IT-2012-0008,BRIS,0
IT-2009-0121,SCP,0
EMSC-20161030_0000029,TLN,0
IT-2012-0061,PTC,0
EMSC-20130807_0000038,NOAC,0
EMSC-20140203_0000008,MGNA,0
IT-2009-0009,SDG,0
EMSC-20160824_0000006,VSE,0
EMSC-20161026_0000077,TOD,0
IT-2009-0009,SPO,0
EMSC-20161030_0000029,FLT,0
IT-2009-0009,BBN,0
IT-2012-0061,SNA,0
TK-1999-0389,1604,0
IT-2012-0008,IMOL,0
EMSC-20160824_0000006,MSC,0
IT-2012-0008,ATLO,0
EMSC-20161026_0000077,LSS,0
EMSC-20150416_0000081,IACM,0
EMSC-20160824_0000013,BSS,0
EMSC-20161026_0000077,BZZ,0
EMSC-20161026_0000077,PRE,0
IT-2009-0102,CSO1,0
EMSC-20160824_0000006,ATVO,0
IT-2009-0009,PTF,0
IT-2012-0011,BRB,0
EMSC-20161026_0000077,MDAR,0
IT-2012-0011,VLM,0
IT-2012-0032,FIN0,0
IT-2009-0262,AQG,0
IT-2008-0004,LSP,0
IT-2012-0076,ZCCA,0
IT-2013-0003,SCN,0
IT-1984-0004,ATN,0
EMSC-20161026_0000077,T1244,0
IT-2009-0009,ANT,0
EMSC-20150216_0000033,KSL,0
TK-1997-0003,3102,0
EMSC-20161030_0000029,ORC,0
IT-2009-0121,PTF,0
EMSC-20160826_0000013,AQV,0
IT-2012-0008,RIM,0
TK-1999-0077,ARC,0
IT-2009-0140,CLN,0
IT-2009-0084,RM02,0
EMSC-20161026_0000077,MMO,0
IT-2009-0032,SPO,0
IT-1977-0008,SMU,0
IT-2013-0019,SGR,0
EMSC-20161026_0000077,T1218,0
TK-2007-0030,1201,0
EMSC-20161026_0000095,VAL,0
IT-2013-0005,SSU,0
TK-1999-0344,5401,0
EMSC-20160824_0000013,MNF,0
IT-2009-0174,RM01,0
TK-2003-0191,4401,0
EMSC-20161030_0000029,CSS,0
EMSC-20160911_0000061,KBN,0
IT-2012-0006,GAI,0
TK-2005-0122,1201,0
EMSC-20160824_0000006,PIGN,0
RO-1990-0003,VRI,0
EMSC-20160824_0000013,CSO1,0
EMSC-20131012_0000044,MNVA,0
EMSC-20160824_0000006,ATN,0
IT-2009-0102,SPC,0
EMSC-20161030_0000029,CPS,0
IT-2013-0005,VLC,0
GR-1997-0019,KRN1,0
EMSC-20130615_0000050,ZKR,0
IT-2012-0008,FIE,0
IT-2009-0174,AQG,0
EMSC-20130616_0000095,ANKY,0
IT-2009-0102,SCP,0
IT-2013-0005,ZOVE,0
IT-2012-0008,PZS,0
IT-2008-0004,AUL,0
TK-1999-0415,ARC,0
IT-1997-0006,PTL,0
SI-1998-0010,ADOM,0
TK-2007-0150,2608,0
IT-2013-0005,FVZ,0
IT-2012-0008,BSZ,0
IT-2012-0011,MTRZ,0
EMSC-20161026_0000077,CSD,0
EMSC-20160824_0000006,SSC,0
IT-2009-0009,MNG,0
IT-2013-0005,BAG8,0
EMSC-20161026_0000095,SNO,0
TK-2007-0024,1201,0
TK-1999-0415,3401,0
EMSC-20161030_0000029,CSO1,0
EMSC-20151117_0000025,AGRP,0
EMSC-20160824_0000006,COR1,0
EMSC-20160824_0000013,BGR,0
IT-2013-0005,RVR,0
IT-2012-0006,BORM,0
EMSC-20161030_0000029,FSS,0
EMSC-20161026_0000095,T1244,0
EMSC-20161030_0000029,PIEI,0
IT-2009-0009,CNM,0
EMSC-20161030_0000029,GSA,0
RO-1990-0003,A1856,0
EMSC-20161026_0000077,GRN,0
IT-2012-0011,PZS,0
EMSC-20161026_0000095,MMP1,0
IT-2012-0061,MRLC,0
IT-2012-0006,RNC,0
EMSC-20161026_0000077,GUMA,0
EMSC-20161026_0000095,PSC,0
EMSC-20161030_0000029,FIE,0
IT-2012-0008,FVZ,0
IT-1997-0137,AQM,0
IT-2012-0011,BRM,0
IT-2012-0008,BBN,0
EMSC-20161026_0000095,CIMA,0
EMSC-20161026_0000095,PAN,0
EMSC-20161030_0000029,MVB,0
EMSC-20161026_0000095,SFI,0
IT-2009-0009,CMR,0
EMSC-20151117_0000025,TRIZ,0
TK-1999-0077,4106,0
IT-2009-0009,CHT,0
IT-2012-0011,SNM,0
EMSC-20161026_0000095,AQK,0
TK-2004-0089,4401,0
IT-1997-0006,AQK,0
EMSC-20160824_0000006,CERA,0
EMSC-20161026_0000095,AQF,0
TK-2005-0032,1208,0
EMSC-20161030_0000029,PSC,0
EMSC-20161030_0000029,FRT,0
EMSC-20161026_0000095,CVM,0
EMSC-20160824_0000013,AMT,0
EMSC-20161026_0000077,MSC,0
IT-2009-0121,RM14,0
EMSC-20161030_0000029,MTL,0
EMSC-20141122_0000066,GISR,0
IT-1997-0137,AQA,0
IT-2009-0102,PTF,0
EMSC-20161026_0000095,TERO,0
IT-2009-0102,RM09,0
EMSC-20160826_0000013,CTD,0
EMSC-20161101_0000060,AQU,0
IT-2013-0005,ZEN8,0
IT-2012-0011,SPI,0
EMSC-20161026_0000077,MNF,0
EMSC-20161030_0000029,DUR,0
EMSC-20141107_0000069,DION,0
EMSC-20160824_0000006,NRN,0
EMSC-20161026_0000095,MNTP,0
TK-2007-0018,2301,0
IT-2009-0140,PCB,0
IT-1997-0137,NCM,0
ME-1979-0003,PETO,0
IT-2009-0102,CHT,0
IT-2013-0009,PNM,0
TK-2001-0097,4604,0
EMSC-20140430_0000008,NOAC,0
IT-2013-0005,BGL,0
GR-2016-0009,JAN,0
EMSC-20150417_0000011,ZKR,0
IT-2012-0011,SMP,0
GR-2016-0006,TPE,0
IT-2009-0121,MTR,0
IT-2013-0019,CSS,0
IT-2009-0102,AQG,0
IT-2009-0032,AQU,0
EMSC-20160923_0000135,BMR,0
EMSC-20160923_0000135,DEV,0
IT-2012-0011,SSU,0
EMSC-20161026_0000095,CSN,0
EMSC-20110401_0000033,GVD,0
PT-1969-0001,LIS,0
EMSC-20161227_0000104,DEV,0
IT-1980-0012,BSC,0
EMSC-20130108_0000044,FOCM,0
IT-2012-0008,MTRZ,0
IT-2006-0272,BVM,0
