record_identifier,component,database
EMSC-20160824_0000006_MNF_0,U,ESM
4031874,H2,NGASub
7000975,H2,NGASub
GR-1997-0019_KAL1_0,U,ESM
4028417,H1,NGASub
7006416,H1,NGASub
3001006,H1,NGASub
7006384,H1,NGASub
2000810,H2,NGASub
7006707,H1,NGASub
3000105,H2,NGASub
5003392,H1,NGASub
TK-2004-0020_2406_0,U,ESM
TK-2003-0003_1201_0,U,ESM
7001206,H1,NGASub
7006404,H2,NGASub
4025960,H2,NGASub
4008216,H2,NGASub
4017830,H1,NGASub
7006435,H2,NGASub
6001565,H2,NGASub
EMSC-20120610_0000062_KSL_0,V,ESM
IT-1997-0137_CSC_0,V,ESM
7006428,H1,NGASub
2000817,H2,NGASub
4008112,H2,NGASub
2000775,H2,NGASub
6000037,H2,NGASub
7006253,H1,NGASub
7011565,H1,NGASub
EMSC-20160824_0000013_AQU_0,U,ESM
EMSC-20161030_0000029_CSO1_0,U,ESM
EMSC-20161026_0000095_T1201_0,V,ESM
EMSC-20160824_0000013_MSCT_0,V,ESM
IT-2009-0009_GSA_0,U,ESM
EMSC-20161026_0000095_MTL_0,V,ESM
IT-2009-0140_RM10_0,U,ESM
TK-2004-0089_4401_0,U,ESM
EMSC-20161026_0000095_CLN_0,V,ESM
IT-1976-0002_TLM1_0,U,ESM
EMSC-20161030_0000029_AMT_0,U,ESM
EMSC-20160824_0000006_TLN_0,U,ESM
EMSC-20160824_0000006_SDM_0,V,ESM
EMSC-20161030_0000029_AQF_0,V,ESM
EMSC-20161030_0000029_ANT_0,V,ESM
EMSC-20161026_0000077_NRC_0,V,ESM
EMSC-20161030_0000029_T1213_0,U,ESM
EMSC-20160824_0000013_ANT_0,V,ESM
IT-2012-0061_0LAI_0,U,ESM
IT-2009-0102_RM02_0,U,ESM
EMSC-20160824_0000006_ANT_0,U,ESM
IT-2012-0011_BBN_0,U,ESM
EMSC-20160824_0000006_MTR_0,V,ESM
EMSC-20161030_0000029_SDM_0,V,ESM
TK-1998-0063_3102_0,V,ESM
IT-2009-0121_MI01_0,V,ESM
EMSC-20161030_0000029_SSC_0,U,ESM
EMSC-20160824_0000006_RNI2_0,V,ESM
ME-1979-0012_BUD_0,U,ESM
EMSC-20160824_0000013_AMT_0,V,ESM
EMSC-20161030_0000029_BZZ_0,U,ESM
EMSC-20160824_0000006_MMUR_0,V,ESM
IT-2012-0011_PZS_0,V,ESM
IT-2012-0008_PVF_0,V,ESM
IT-1997-0004_AQK_0,U,ESM
IT-2012-0008_RNC_0,V,ESM
IT-2012-0011_IMOL_0,U,ESM
EMSC-20161026_0000095_TSC_0,U,ESM
TK-1999-0294_1604_0,U,ESM
IT-2012-0008_RVR_0,V,ESM
