NGAsubRSN,Station_Name
5003993,KEKS
7006231,TTN011
2000043,KIMB
6001546,CSTRC
7001203,TCU026
7006276,TTN014
7006706,TTN014
1002822,GHO
7010383,TCU012
7010072,CHY041
5003996,NLMS
4027443,OHTOYO
5003994,NELS
7006417,HWA042
7006685,TCU148
4019805,SHIMODATE
4031815,KAMAKURA
4010102,TAJIRI
4007350,TOUWA
7007049,TCU018
7006250,TTN033
7005903,CHY086
7006042,KAU038
7001172,TAP087
7010473,TCU125
7010397,TCU028
7006713,TTN024
3001309,3292
7010447,TCU091
4025962,SHIOJIRI
7005105,HWA041
6003673,PB09
7006379,HWA019
7006398,HWA019
6001156,PUTRE RETEN DE CARABINEROS (SMA-1)
2000032,ALST
4028058,CHOHKAI
4028255,OHMIYA
4016867,YAMATSURI
6001440,CCALA
4025959,TOGAKUSHI
7010165,HWA045
7001147,TAP049
7006715,TTN026
6006431,SPED
6001526,CMAN1
7008439,HWA019
7008443,HWA019
4020014,OHFUNATO
7001971,HWA030
4025211,HITACHINAKA
7008076,MTN125
4024598,OKOPPE-W
7006258,TTN042
4007087,NINOHE-W
4010238,KAWAUCHI
4028835,TOMURAUSHI
4040652,IWAKI
4023189,SHINTOKU-N
4028580,TOMURAUSHI
4008559,OOMORI
4024775,SHIMIZU
4032381,HAKKOHDA
4017021,KAWAJIRI
7008069,MTN114
4029212,ASHIRO
6002239,BO01
6004534,MJS
4030675,IKARIGASEKI
4025446,NINOHE-W
4025980,MAKI
4025986,OSKH01
4021946,SHIROISHI
4028335,MURAMATSU
7006546,MTN118
6004041,PATCX
4021849,MITSUMI
4008080,TATEYAMA-W
4031874,HAKUBA
4040035,NISHIMEYA
4002269,MURAMATSU
4040066,KITAMI
2001567,KRP
4032012,UODU
4022454,FUKAURA
4007429,SHITADA
1002907,N19K
4031905,NAGAOKA-SHISHO
3000416,PJMN
4028338,NAGAOKA-SHISHO
7006198,TCU131
4034403,SAKAMOTO
5003360,NEWS
6001704,CECAL
7005922,CHY109
3001305,2064
4001986,FUJISATO
2001637,KRP
3001295,645
7006253,TTN036
4027499,AMAGASE
4021942,KONOHANA
3001757,CHIE
4028510,BIFUKA
7001887,TCU042
7011565,HGSD
4028247,KIMANAI
4007231,TOWADAKO-W
7006129,TCU036
7010391,TCU020
4017771,SHIRAHAMA
4027488,CHIJIWA
4026908,KITAMI
7006238,TTN020
4028064,OHMA
3000424,PSVT
7004931,TCU056
7005975,HWA047
7006896,ILA021
7010492,TCU147
4024852,INA
7008000,HWA058
4001370,KAHOKU
7004603,CHY074
7004653,CHY074
4010286,KUZUMAKI
4035240,GOKASE
7001106,KAU054
4032877,OKOPPE-E
6005391,V01A
7010673,TAP049
6000516,GO01
4032403,MIYAKO
7001834,TAP062
5001374,FOZ
6005804,CALAMA HOSPITAL
4031890,KOMAGANE
4005958,KANEGASAKI
7001792,ILA062
7008236,TCU130
4028790,TENNINKYO
4017862,GOTEMBA
4022973,FUKAGAWA-N
7004864,TAP069
4018488,KAWAJIRI
5001414,MOSS
6001375,PB01
7004951,TCU090
6005445,R20M
6005675,MEJILLONES PUERTO
7007968,HWA019
7007982,HWA019
4028577,TAIKI
4002248,TAIWA
4002329,SHINJOH
3000375,AORT
6002704,ALOR
5001375,GORS
7001956,HWA012
4012370,YOKOTE
6005363,C19O
7004845,TAP044
7004896,TCU009
4021878,KITAGAWA
7008571,TCU081
7001555,TCU027
4019160,KAKUNODATE
4040877,HAYAKAWA
4002547,UTSUNOMIYA
4040150,YOICHI
4036227,KANEGASAKI
4002451,IWAKI
4023113,SHIMOKAWA-W
4001301,TOWADAKO-W
6005381,R05M
4040669,TSUKECHI
4040158,SUTTSU
7006219,TCU159
7006039,KAU034
7006547,MTN120
7002769,TCU018
5001514,WAIS
7001732,HWA009
4028498,FUHREPPU
4040602,OGACHI
4029224,TAIWA
6004246,PB09
4003072,HOBETSU
4022878,SHIZUKUISHI
6001352,PB07
2000985,K04D
7010439,TCU082
4032944,BIEI-E
4029054,KITAMI
4012375,TAMAGAWA
4028624,NISEKO
4031414,CHICHIBU
4033854,SHIMABARA
4025464,KANEGASAKI
1000086,ATKA
3000103,2894
7006623,TCU063
4016897,SAKAMOTO
4022978,YUUBARI
7011787,ANPB
4003225,MINOBU
4040889,YAMAGATA
4007340,KUJI-S
6001442,CFILA
7007991,HWA045
4003196,INA
4040761,KOMAGANE
4039219,BIRATORI-E
7005968,HWA039
4028535,KITAMI
3000408,LSQR
4012413,TAIKI
4018504,TSUKIDATE
7004709,HWA029
4003222,NISHINOHARA
7006587,TAW
4031853,SHIMA
6001518,CECAL
4022576,ICHINOSEKI-W
6004056,PB16
4002585,OGA
7005958,HWA028
7006420,HWA047
7010162,HWA041
7006202,TCU135
4016779,HACHIMORI
5003392,TPPS
7011970,HGSD
7001233,TCU072
1002900,L20K
7008191,TCU018
6001720,CPLAT
1001788,SKN
4027542,KOHGA
7005973,HWA044
7010134,HWA009
7010457,TCU105
7006155,TCU068
4009468,NISHIKI-S
7002767,TCU016
7008540,TAP074
6004043,PB02
5004043,FAIS
4017127,YUMOTO
4027384,MIKI
4028399,ENZAN
7010501,TCU163
7007075,TCU050
5003400,KHLS
4027591,TAIJI
4034662,TOMIOKA
4022516,BIRATORI-E
4018289,TAIWA
4019215,YAMATSURI
3001523,VILE
6001139,AQP
6003440,MNMCX
4019309,NINOHE
4031768,KIRYUH
4022523,ASSABU
7011573,SSLB
7007048,TCU017
7006406,HWA030
4022538,HOBETSU
2000064,SBES
7010256,MTN138
4007498,KANNAMI
4034481,KAMAKURA
4009572,NINOHE-W
6001691,CSAMA
7010318,TAP047
7005409,TTN045
6006153,MEJILLONES PUERTO
4007434,SHIOZAWA
6000553,LITI
4019897,OGAWA
6001680,CPAS2
4017870,OGAWA
1002915,Q23K
7010169,HWA049
4022723,UTSUNOMIYA
7007069,TCU044
7010428,TCU069
4017043,HADANO
4028344,CHICHIBU
4007208,CHOUKAI
7001218,TCU046
5003371,WNHS
7001154,TAP065
4017099,CHICHIBU
4021919,YAMAGUNI
4019211,HIRONO
4007209,OGACHI
1002402,ADK
7006365,CHY110
4022521,SAMANI
4021959,MIHONOSEKI
7002896,HWA031
7010418,TCU056
7002288,TAP065
4021886,KUNITOMI
7010437,TCU080
4025927,MIEH07
7006728,TTN040
7006175,TCU101
3000374,AMTR
4001275,NISHIKI-N
4039258,SHIZUKUISHI
4032020,TOGA
7006856,HWA032
7000079,HWA017
7010431,TCU073
7001392,TCU081
7001571,TCU081
4017084,MURAMATSU
7005909,CHY096
1002198,OKSO
7002327,TCU033
7002132,CHY041
7005858,CHY022
4030655,CHOHKAI
4008547,OGACHI
4023494,ROKKASYO
6001859,CGUAD
7005005,TTN033
7007973,HWA009
7000036,CHY035
7006844,HWA018
4026046,HAYAKAWA
7006262,TTN046
4031765,AGATSUMA
4021850,YABE
7010334,TAP070
7010380,TCU008
4032358,YOKOTE
4029241,OGAWA
4032333,SHINJOH
7008240,TCU147
4006413,KANEGASAKI
7008079,MTN134
7010345,TAP085
7005952,HWA019
4017188,SHIMOYACHI
7010225,ILA053
4030685,HAKKOHDA
4001318,FUKUSHIMA
7008081,MTN136
4028528,MOMBETSU
7010615,HWA019
6001451,CTRUJ
6001242,MEJILLONES HOSPITAL
7006259,TTN043
7000070,HWA019
7000081,HWA019
4027571,HIGASHIIYAYAMA
4012403,HAKKOHDA
4028896,KIMANAI
4024609,RUBESHIBE
7006627,TCU068
4027492,KUNIMI
6001246,TOCOPILLA PUERTO (SOQUIMICH)
4016868,TANAGURA
7000076,HWA012
4028054,KAKUNODATE
4024810,FUJISATO
4040155,NISEKO
4028642,SETANA
7011277,SBCB
7004698,HWA016
5001590,BKZ
7002786,TCU052
7007571,HWA045
4007372,HAYAMA
4016863,HIRONO
3001288,636
4022700,SHIZUOKAKITA
4019456,OGUNI
4033581,MOTEGI
7007079,TCU057
7008505,MTN122
4027371,OHYA
4021876,GEINOU
4009657,YUNOTANI
3001572,ATYC
4022682,OGANO
4007322,HOBETSU
7006888,ILA010
4019321,FIJINO
7007119,TCU105
7010513,TTN023
7010980,TWGB
7011530,TWGB
4022544,TOUBETSU
4025946,TATSUNO
4007297,BIRATORI-E
1002798,BMR
4038635,TSUNO
5004057,TRMS
7006275,CHY074
7006336,CHY074
5000607,HOCS
4007245,TATEYAMA-W
7010970,HGSD
7011520,HGSD
4027539,EIGENJI
7008550,TAP115
4022728,SHINTOKU-S
4009484,OOMORI
4017042,FIJINO
7004010,CHY046
4036709,FUJIMI
4028229,SHIRAOI
7000080,HWA018
7006606,TCU043
7007189,TTN045
4017907,ENZAN
4022716,KURIYAMA-E
1002813,DIV
4022715,KURIYAMA-W
4009490,ROKKASYO
4007300,SHIZUNAI
3001574,OCLL
7011576,WFSB
7007070,TCU045
7011549,HGSD
7010427,TCU068
7001231,TCU069
7007176,TTN023
4034550,KUROISO
6000549,ELBO
4017808,SHIMODATE
7010259,MTN145
7011220,NACB
7011975,NACB
7006119,TCU016
4007247,KATSUURAHIGASHI
7005411,TTN048
4019307,ASHIRO
7007055,TCU027
7010977,SSLB
7011527,SSLB
4025930,GEINOU
4022514,TOMIOKA
4034766,OGANO
4019932,ENZAN
4017141,HINOHARA
7003348,HWA028
7006136,TCU044
6005547,MEJILLONES PUERTO
7010480,TCU134
4007534,NISHINOHARA
4019446,SHINJOH
4036691,IKOMA
4025877,KAMIISHIZU
7005839,TTN014
7006234,TTN014
4031772,SAKAMOTO
7002762,TCU010
7010046,CHY010
4033469,IWAKI
1002850,PPLA
7010476,TCU128
4028205,TAIKI
7010260,MTN146
3001578,TEACALCO
5002720,TPPS
7006154,TCU067
7005961,HWA031
4007512,UTSUNOMIYA
7006242,TTN025
7001493,TAP044
7007003,TAP067
4038637,SAITO
2000061,RHAZ
7005339,TCU102
7007046,TCU012
4007256,INA
7001247,TCU092
7005349,TCU116
7007054,TCU026
6001140,MOQ3
4028292,NINOHE
4027435,AGAWA
6001702,CCUFI
4007391,TAJIRI
4007220,OOMORI
4021848,HAKUSUI
6001137,MOQ1
