record_identifier,component
EMSC-20141122_0000066_TLCR_0,V
IT-1984-0004_CSN0_0,V
EMSC-20161026_0000095_T1212_0,U
IT-2006-0272_CTV_0,U
IT-2012-0008_CNF_0,U
IT-2012-0061_ACR_0,V
EMSC-20160824_0000013_AQK_0,V
EMSC-20160824_0000006_AQK_0,U
EMSC-20161030_0000029_PCB_0,V
EMSC-20161026_0000077_RQT_0,U
EMSC-20161026_0000077_T1214_0,U
GR-1999-0001_RFNA_0,V
EMSC-20160824_0000013_AQU_0,V
TK-2005-0032_1208_0,U
GR-1986-0011_KALA_0,V
EMSC-20161026_0000077_CLO_0,U
ME-1979-0012_HRZ_0,U
ME-1979-0012_PET_0,U
IT-1997-0137_NCR2_0,U
IT-2012-0061_0MOR_0,U
GR-1986-0011_KAL2_0,U
IT-1984-0002_GBB_0,U
AM-1990-0013_SBKR_0,U
PT-1969-0001_LIS_0,U
IT-2012-0010_PZS_0,U
EMSC-20090425_0000080_BUR01_0,V
GE-1991-0003_SIRI_0,V
TK-2007-0018_1201_0,U
EMSC-20160923_0000135_BMR_0,U
TK-1997-0126_5902_0,V
EMSC-20161030_0000029_SSO_0,V
SI-1998-0010_ILBA_0,V
EMSC-20161026_0000095_AMT_0,V
EMSC-20161030_0000029_AQA_0,U
EMSC-20110401_0000033_GVD_0,U
IT-2012-0008_RIM_0,U
EMSC-20160923_0000135_DEV_0,V
PT-1969-0001_LIS_0,V
EMSC-20160824_0000006_MMUR_0,U
IT-2012-0011_BDT_0,V
EMSC-20160824_0000006_STF_0,U
TK-1996-0032_0502_0,V
EMSC-20161026_0000095_CSN_0,V
EMSC-20160824_0000006_CADA_0,U
EMSC-20160824_0000006_ASOL_0,U
GE-1991-0002_STPV_0,U
EMSC-20160923_0000135_DEV_0,U
EMSC-20161026_0000095_CERA_0,U
EMSC-20161030_0000029_AQV_0,V
IT-1997-0137_ANNI_0,U
IT-2009-0009_LSS_0,V
EMSC-20161030_0000029_CSC_0,V
EMSC-20161026_0000095_CMI_0,V
IT-2012-0008_PRM_0,V
IT-2012-0011_BRB_0,V
EMSC-20161030_0000029_CDM_0,U
EMSC-20161030_0000029_BAG8_0,V
EMSC-20161030_0000029_T1244_0,V
EMSC-20160824_0000006_BLY_0,U
EMSC-20151117_0000025_PIPA_0,U
EMSC-20160824_0000006_STAL_0,U
EMSC-20161026_0000095_SPD_0,V
TK-1999-0415_MSK_0,U
EMSC-20140126_0000046_EFSA_0,U
EMSC-20110519_0000052_FETI_0,U
EMSC-20140126_0000046_LSK_0,U
EMSC-20161026_0000095_0MBT_0,U
EMSC-20161030_0000029_CSN_0,U
EMSC-20161026_0000095_TOD_0,V
TK-1999-0415_487_0,V
IT-1977-0008_SMU_0,U
IT-2009-0121_MI02_0,U
IT-2012-0011_MIR06_0,U
IT-2009-0009_MTR_0,V
IT-2013-0019_MCN_0,U
IT-1976-0030_FRC_0,V
IT-2009-0140_RM02_0,V
EMSC-20161026_0000095_MCV_0,U
IT-2013-0019_GSN_0,U
IT-2009-0140_AQA_0,U
IT-2009-0140_RM02_0,U
IT-1997-0091_CLC_0,U
IT-2009-0102_AQF_0,V
TK-2007-0024_2701_0,V
TK-1999-0415_C1062_0,U
EMSC-20140126_0000046_SERS_0,U
EMSC-20120610_0000062_ESKT_0,U
IT-2009-0009_AQG_0,V
IT-2009-0009_ORC_0,U
IT-2009-0121_RM11_0,U
EMSC-20150416_0000081_YKAV_0,U
IT-2009-0009_AQV_0,U
TK-1999-0389_5401_0,U
EMSC-20160824_0000006_NRC_0,V
IT-2009-0102_RM03_0,U
EMSC-20161030_0000029_T1213_0,V
IT-2009-0009_AQK_0,V
IT-2009-0102_BZZ_0,U
GR-1986-0006_KAL1_0,U
EMSC-20140126_0000046_CAR1_0,U
IT-2008-0004_BELV_0,V
IT-2012-0010_SENIN_0,U
IT-2012-0011_SAIG_0,V
IT-2009-0102_PSC_0,U
GR-1986-0006_KALA_0,U
IT-2012-0011_PZS_0,U
EMSC-20131012_0000044_KTHA_0,V
EMSC-20161030_0000029_MNF_0,U
EMSC-20161026_0000095_ACC_0,U
EMSC-20131012_0000044_MNVA_0,U
EMSC-20161026_0000077_CSS_0,U
EMSC-20130807_0000038_YDRA_0,V
IT-2009-0121_MI01_0,U
