im,site,region,stripe_iml,stripe_return_period,n_required,n_required_ngasub,n_required_esm,n_available,n_missing,n_missing_ngasub,n_missing_esm,stripe_complete,site_im_complete
AvgSA_03,28,5,0.45,,30,19,11,30,0,0,0,True,False
AvgSA_03,28,5,0.4,,30,19,11,30,0,0,0,True,False
AvgSA_03,28,5,0.36,,30,20,10,30,0,0,0,True,False
AvgSA_03,28,5,0.33,,30,19,11,30,0,0,0,True,False
AvgSA_03,28,5,0.285,,30,23,7,30,0,0,0,True,False
AvgSA_03,28,5,0.27,,30,24,6,30,0,0,0,True,False
AvgSA_03,28,5,0.2423,,30,24,6,24,6,6,0,False,False
AvgSA_03,28,5,0.1645,,30,25,5,30,0,0,0,True,False
AvgSA_03,29,5,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,29,5,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,29,5,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,29,5,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,29,5,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,29,5,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,29,5,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,29,5,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,29,5,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,30,0,0.7139,,30,0,30,30,0,0,0,True,True
AvgSA_03,30,0,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,30,0,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,30,0,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,30,0,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,30,0,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,30,0,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,30,0,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,31,0,1.15,,30,29,1,29,1,1,0,False,False
AvgSA_03,31,0,0.95,,30,28,2,29,1,1,0,False,False
AvgSA_03,31,0,0.8,,30,28,2,26,4,4,0,False,False
AvgSA_03,31,0,0.65,,30,28,2,27,3,3,0,False,False
AvgSA_03,31,0,0.55,,30,29,1,27,3,3,0,False,False
AvgSA_03,31,0,0.5,,30,28,2,25,5,5,0,False,False
AvgSA_03,31,0,0.45,,30,26,4,27,3,3,0,False,False
AvgSA_03,32,0,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,32,0,0.6049,,30,0,30,30,0,0,0,True,True
AvgSA_03,32,0,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,32,0,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,32,0,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,32,0,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,32,0,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,32,0,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,33,0,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,33,0,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,33,0,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,33,0,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,33,0,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,33,0,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,33,0,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,34,0,1.3368,,30,18,12,29,1,1,0,False,False
AvgSA_03,34,0,1.15,,30,17,13,30,0,0,0,True,False
AvgSA_03,34,0,0.95,,30,19,11,30,0,0,0,True,False
AvgSA_03,34,0,0.8904,,30,15,15,30,0,0,0,True,False
AvgSA_03,34,0,0.8,,30,18,12,30,0,0,0,True,False
AvgSA_03,34,0,0.65,,30,14,16,30,0,0,0,True,False
AvgSA_03,34,0,0.55,,30,14,16,30,0,0,0,True,False
AvgSA_03,34,0,0.5,,30,19,11,30,0,0,0,True,False
AvgSA_03,34,0,0.45,,30,14,16,30,0,0,0,True,False
AvgSA_03,34,0,0.4,,30,18,12,30,0,0,0,True,False
AvgSA_03,35,1,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,35,1,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,35,1,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,35,1,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,35,1,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,35,1,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,35,1,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,36,1,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,36,1,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,36,1,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,36,1,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,36,1,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,36,1,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,36,1,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,37,1,0.7139,,30,0,30,30,0,0,0,True,True
AvgSA_03,37,1,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,37,1,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,37,1,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,37,1,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,37,1,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,37,1,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,37,1,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,38,1,1.15,,30,27,3,26,4,4,0,False,False
AvgSA_03,38,1,0.95,,30,28,2,23,7,7,0,False,False
AvgSA_03,38,1,0.8,,30,28,2,27,3,3,0,False,False
AvgSA_03,38,1,0.65,,30,30,0,27,3,3,0,False,False
AvgSA_03,38,1,0.55,,30,27,3,28,2,2,0,False,False
AvgSA_03,38,1,0.5,,30,30,0,25,5,5,0,False,False
AvgSA_03,39,1,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,39,1,0.6049,,30,0,30,30,0,0,0,True,True
AvgSA_03,39,1,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,39,1,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,39,1,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,39,1,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,39,1,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,39,1,0.33,,30,0,30,30,0,0,0,True,True
